Location, Year
Kullersta, 1925
Kälkebo, 1925
Köping, 1925
Lerbäcksbyn, 1925
Linköping, 1925
Löbbo, 1925
Malmö, 1925
Mellerud, 1925
Mölndal, 1925
Norup, 1925
Nyborg, 1925
Ovanmyra, 1925
Ramsta, 1925
Rasjön, 1925
Revinge, 1925
Råstock, 1925
Skövde, 1925
Sollefteå, 1925
Stenstu, 1925
Stockholm, 1925
Storegården, 1925
Södertälje, 1925
Trollhättan, 1925
Trången, 1925
Tumhult, 1925
Tånga, 1925
Tönnersa, 1925
Uppmälby, 1925
Vadstena, 1925
Varberg, 1925
Vimmerby, 1925
Väby, 1925
Västerås, 1925
Älvsered, 1925
Antnäs, 1935
Boxholm, 1935
Bramstorp, 1935
Bro, 1935
Broaryd, 1935
Broddbo, 1935
Dahl, 1935
Digernäs, 1935
Dunker, 1935
Eskilstuna, 1935
Falkenberg, 1935
Falla, 1935
Falun, 1935
Gahns, 1935
Grimbo, 1935
Grytterud, 1935
Grängesberg, 1935
Grönvik, 1935
Gävle, 1935
Göteborg, 1935
Hallagården, 1935
Haverö, 1935
Huskvarna, 1935
Hällbacken, 1935
Hälleforsnäs, 1935
Häste, 1935
Höjen, 1935
Hönö, 1935
Hörby, 1935
Höör, 1935
Igelboda, 1935
Kalmar, 1935
Karlskrona, 1935
Karlstad, 1935
Kasenberg, 1935
Kristianstad, 1935
Krogstorp, 1935
Kullen, 1935
Landskrona, 1935
Lerbäcksbyn, 1935
Lindome, 1935
Luleå, 1935
Löbbo, 1935
Malmö, 1935
Mellerud, 1935
Mora, 1935
Munkedal, 1935
Norrköping, 1935
Norup, 1935
Närlinge, 1935
Ovanmyra, 1935
Prästbol, 1935
Ramsta, 1935
Rasjön, 1935
Rimforsa, 1935
Rosta, 1935
Rubbestad, 1935
Råstock, 1935
Sandby, 1935
Skellefteå, 1935
Skövde, 1935
Staxäng, 1935
Steneberg, 1935
Stenstu, 1935
Stockholm, 1935
Södergård, 1935
Sörsjön, 1935
Tidaholm, 1935
Toftered, 1935
Trollhättan, 1935
Trången, 1935
Tväråselet, 1935
Umeå, 1935
Uppmälby, 1935
Vimmerby, 1935
Välsnäs, 1935
Vännäsby, 1935
Västerås, 1935
Östersund, 1935
Linköping, 1962
Västervik, 1970
Eskilstuna, 1988
Malmö, 1988
Norrbotten, 1988
Sundsvall, 1988
Umeälven, 1988
Gamleby, 1980
Hofors, 1980
Karlstads, 1980
Lilla, 1980
Ljung, 1980
Röstånga, 1980
